网点名称,网点地址,电话,Longitude,Latitude
长丰杨庙营业所,安徽省长丰县杨庙镇,0551-66511011,117.087135,32.1991272
合肥新政务区支行,合肥市怀宁路与汇林南路交叉口安德兴业大夏,0551-63535370,117.222252,31.82377
长丰下塘营业所,安徽省长丰县下塘镇,0551-66471022,117.213295,32.19314
巢湖市支行营业室,巢湖健康中路238号,0551-82328010,117.872185,31.6022377
合肥马鞍山路支行,合肥市包河区马鞍山路与太湖路交口绿地赢海国际大厦A座商202、商302、商303号商业用房,0551-63757940,117.302032,31.83201
巢湖开发区支行,巢湖市半汤街道冷泉路28号,0551-82356818,117.917839,31.6427937
肥东店埠支行,肥东县店埠镇新街28号,0551-67721903,117.469742,31.8849239
肥西小庙支行,安徽省肥西县小庙镇,0551-68501029,117.017426,31.8465939
合肥学府花园支行,安徽省合肥市黄山路455号,0551-65580852,117.237625,31.8401051
肥西官亭支行,肥西县官亭镇政府行政服务中心,0551-68361316,116.87088,31.801096
绿都支行,安徽省合肥市庐徽州大道绿都商城E区108号,0551-62638714,117.289413,31.8640537
合肥分行营业部营业室,合肥市长江中路448号,0551-63645770,117.271614,31.8603935
庐江泥河支行,庐江县泥河镇,0551-87371040,117.322289,31.0874844
肥西三河支行,安徽省肥西县三河镇,0551-68751326,117.247993,31.5115967
合肥史河路支行,合肥市蜀山区史河路38号,0551-65671435,117.239426,31.8622646
庐江城南分理处,庐江县文明路,0551-87328145,117.292953,31.2439251
滨湖支行,合肥市滨湖新区徽州大道与紫云路交口世纪金源购物中心S2-125至129室,0551-62819762,117.289879,31.7437248
合肥龙岗支行,安徽省合肥市长江东路77号,0551-64329227,117.362015,31.8679276
合肥格力工业园支行,合肥市高新区柏堰科技园铭传路,0551-68125666,117.181114,31.80308
合肥瑶海区支行营业室,安徽省合肥市凤阳路468号,0551-64224607,117.311111,31.874979
合肥义城分理处,合肥市滨湖区嵩山路与万泉河路交口琥珀瑞安家园1幢商102-103号,0551-63361004,117.3152,31.7442
合肥龙门支行,合肥市瑶海西路与龙门岭路交汇处合肥市新站中心集贸市场106~109-1号门面房,0551-64390470,117.322754,31.8898563
巢湖槐林支行,巢湖市居巢区槐林镇95号,0551-88722128,117.6161,31.4183
合肥天鹅湖支行,合肥市政务区潜山南路188号蔚蓝商务港城市广场C座商104、商105、商106、商106上,0551-63712647,117.2351,31.8125
巢湖黄麓分理处,巢湖市居巢区黄麓镇,0551-88561235,117.584839,31.6219788
巢湖夏阁分理处,夏阁镇巢柘路10号,0551-88361021,117.831718,31.7052231
肥西县支行营业室,安徽省合肥市肥西县上派镇人民路,0551-68841410,117.166344,31.7151
合肥武里山路支行,合肥市新站综合试验区物流大道与武里山路交口乐活广场一楼门面房,0551-62773128,117.322006,31.90171
巢湖居巢支行,巢湖市巢湖中路77号,0551-82625467,117.869644,31.5942554
合肥桃花工业园区支行,安徽省肥西县桃花镇民营企业区,0551-63826599,117.221405,31.7761459
合肥曙光支行,合肥市包河区曙光路12号2幢,0551-63657553,117.278427,31.8417225
巢湖烔炀支行,巢湖市居巢区烔炀镇,0551-88511023,117.634026,31.6834831
合肥安居苑支行,安徽省合肥市青阳路安居苑东路口商网101号,0551-65563482,117.2415,31.84829
合肥万达广场支行,合肥市马鞍山路150号万达广场11幢商116、116上室,0551-62886454,117.304047,31.85897
合肥龙塘支行,合肥市合马路与东风大道交口商贸物流开发区红星美凯龙家居生活广场1幢129号门面房,0551-68125904,117.414116,31.8332
合肥城东支行,合肥市瑶海区临泉路与全椒路交口乐富公寓5幢商109、110号,0551-65205078,117.320648,31.8800621
巢湖人民路支行,巢湖市人民路商业街8号楼17—26号,0551-82322575,117.8687,31.5993652
肥西紫蓬山旅游开发区支行,安徽省合肥紫蓬山旅游开发区（文达电脑学院大门北边）,0551-68583958,117.023827,31.7437153
长丰岗集支行,安徽省长丰县岗集镇,0551-66771155,117.185432,31.9522533
金穗支行,安徽省合肥市宁国路179号,0551-64682930,117.2912,31.85015
庐江乐桥支行,庐江县乐桥镇,0551-87766725,117.184219,31.1405182
肥东长临河营业所,肥东县长临河镇新街33号,0551-67396271,117.462662,31.6906166
肥东梁园营业所,肥东县梁园镇太平南路,0551-67286204,117.556374,31.9918251
合肥黄山路分理处,安徽省合肥市黄山路373号,0551-63653084,117.264328,31.8414173
合肥庐阳区支行营业室,安徽省合肥市长江路312号,0551-62643586,117.278641,31.8618774
合肥新站高新区支行营业室,合肥市站西路2号宝文国际花园,0551-64240467,117.30957,31.88629
合肥高新技术开发区支行,安徽省合肥市长江西路898号新加坡花园城会所,0551-65327273,117.196976,31.8548641
肥东撮镇支行,肥东县撮镇镇南大街,0551-67361203,117.46653,31.8223858
合肥阜阳路支行,安徽省合肥市荣事达大道263号,0551-65541840,117.287567,31.8786964
长丰新世纪分理处,长丰县北城世纪城裕徽苑S18幢商101号,0551-66868801,117.24501,32.011
合肥绿都花园分理处,安徽省合肥市阜阳北路373号,0551-65541780,117.288223,31.8844814
金寨路支行,安徽省合肥市包河区金寨路162号国际商务中心裙楼1号,0551-63657958,117.27253,31.8457642
庐江城关支行,庐江县庐城镇城北塔山路327号,0551-87324853,117.286949,31.2553215
肥西翡翠路支行,安徽省肥西桃花工业园翡翠路,0551-63831196,117.204254,31.7640324
肥西巢湖路支行,安徽省肥西县上派镇巢湖路,0551-68841219,117.166687,31.7219067
长丰长寿路分理处,安徽省长丰县水湖镇长寿路154号,0551-66674237,117.161293,32.4813
合肥蜀山区支行营业室,合肥市长江西路579号,0551-65561205,117.230446,31.8523178
长丰双凤分理处,长丰县双凤开发区凤巢路与金宁路交口阿奎利亚小区四组团S1幢102商/102上室、103商/103上室,0551-66396111,117.263252,31.95802
长丰县支行营业室,安徽省长丰县水湖镇长丰路149号,0551-66671304,117.164246,32.4777374
合肥金鹰支行,合肥市庐阳区宿州路与庐江路交叉口富世广场A幢101号商铺,0551-62860527,117.290161,31.8584957
庐江白湖支行,庐江县白湖镇串河街道粮贸小区A楼8-13号,0551-87526178,117.45713,31.2160873
合肥花冲支行,安徽省合肥市铜陵路352号,0551-64474545,117.32354,31.8658123
巢湖柘皋支行,巢湖市居巢区柘皋镇,0551-88316179,117.757805,31.7752113
庐江罗河支行,庐江县罗河镇庐枞路43号,0551-87386168,117.287,31.01098
巢湖城郊分理处,巢湖市东塘路东方新世界18幢1020-1022号,0551-82315143,117.881439,31.5999241
肥西包公路分理处,安徽省合肥市肥西县上派镇包公路,0551-68841126,117.176376,31.730978
肥西山南营业所,安徽省肥西县山南镇,0551-68201483,116.885,31.6210556
肥东城关支行,肥东县店埠镇龙泉西路46号,0551-67711581,117.458061,31.8802547
逍遥津支行,安徽省合肥市庐阳区逍遥津路1号,0551-62673590,117.295113,31.8647518
合肥望湖支行,合肥市包河区望湖城老（少）年文化医疗社区综合服务中心青少年活动中心大楼105号商铺,0551-63731701,117.295578,31.8066
合肥经济技术开发区支行营业室,合肥市经济技术开发区芙蓉路2621号东海花园22幢（商务酒店）101、301室,0551-63813908,117.224892,31.7853031
合肥北城支行,合肥市庐阳区蒙城北路2055号华孚城隍庙商业广场一层A1222、1227、1231号商铺,0551-62750972,117.275574,31.8971882
合肥空港支行,合肥市经济技术开发区高刘镇连环村安置点2号商铺商101、商101上、商102、商102上,0551-68933290,117.0351,31.963
长丰朱巷营业所,安徽省长丰县朱巷镇,0551-66841014,117.220108,32.3207321
庐江龙桥支行,庐江县龙桥镇缺口街道裴桂路东侧,0551-87661157,117.448914,31.1403084
合肥华府骏苑支行,合肥市蜀山区望江西路信旺华府骏苑C区商107~109室,0551-62750157,117.236137,31.83155
合肥繁华支行,合肥市包河工业区纬二路包河苑小区大门西侧,0551-63359327,117.320526,31.7944584
肥西上派支行,安徽省合肥市肥西县上派镇上三路,0551-68841912,117.1627,31.717371
长丰双墩支行,长丰县双凤开发区蒙城北路与梅冲湖路交口北城华府S3S4幢108商、109商、110商、111商,0551-66374033,117.257,31.9943
合肥裕溪路分理处,合肥市瑶海区合裕路939号红旗大厦B幢134~137号,0551-64210424,117.337341,31.8474865
肥西花岗营业所,安徽省肥西县花岗镇,0551-68401981,117.056374,31.6307011
