网点名称,网点地址,电话,Longitude,Latitude
经开区支行,合肥经济技术开发区翠微路6号海恒大厦,0551—63813037,,
滨湖支行,合肥市义城镇合巢路37号,0551—63361340,,
高新区支行,合肥市望江西路502号,0551—63633540,,
城东支行,合肥市南陵路48号,0551—64482949,,
大市场支行,合肥市安徽大市场家电广场北A幢51-52号,0551—64252307,,
大兴支行,合肥市合裕路112号,0551—64537314,,
大杨支行,合肥市环湖东路239号,0551—65711208,,
东陈岗支行,合肥市徽州大道719号,0551—64656492,,
庐阳支行,合肥市荣事达大道11－13号,0551—62613479,,
骆岗支行,合肥市太湖路东路6号,0551—63422084,,
城北支行,合肥市濉溪路286号,0551—65527256,,
黄山路支行,合肥市黄山路230号,0551—63627823,,
七里塘支行,合肥市北二环与新蚌埠路交叉口西南角,0551—64289540,,
蜀山支行,合肥市长江西路1002号,0551—65388768,,
望湖支行,合肥市东流路30号,0551—63440407,,
东至路支行,合肥市东至路绿怡居001-002号,0551—63522013,,
杏花支行,合肥市阜南西路168号A座,0551—62829607,,
红旗市场支行,合肥市合裕路939号红旗大厦B座,0551—64531741,,
濉溪东路支行,合肥市濉溪东路99号,0551—64231909,,
琥珀支行,合肥市琥珀山庄东村298号,0551—65605527,,
白水坝分理处,合肥市蒙城北路79号,0551—65523966,,
滨湖新区分理处,合肥市滨湖新区西藏路和长沙路交口处,0551—63681967,,
城南分理处,合肥市东流路11号,0551—63424139,,
大通路分理处,合肥市大通路西段113号,0551—64482282,,
大圩分理处,合肥市南淝河路6号,0551—64853534,,
电厂分理处,合肥市砀山路48号,0551—65554098,,
包河分理处,合肥市包河花园小区A区17栋西边第一间,0551—63412171,,
东七分理处,合肥市长江东路445号,0551—64313770,,
凤阳路分理处,合肥市凤阳路农贸市场1110号,0551—64211014,,
富民分理处,合肥市义城镇富民街,0551—63361023,,
钢铁新村分理处,合肥市合瓦路68号,0551—65526462,,
和平路分理处,合肥市和平路110号华源国际城二区C109-110,0551—64483221,,
美家居分理处,合肥市东流路218号,0551—63521831,,
合裕路分理处,合肥市合裕路1098号,0551—64484104,,
红光分理处,合肥市合裕路2415号,0551—64533289,,
周谷堆分理处,合肥市屯溪路49号,0551—64657629,,
新蚌埠路分理处,合肥市新蚌埠路126号,0551—64287081,,
贾大郢分理处,合肥市东流路3号,0551—63424806,,
建安分理处,合肥市双河路3号,0551—63415883,,
建院分理处,合肥市金寨南路908-1,0551—63519270,,
科大分理处,合肥市中国科技大学东区213号一楼,0551—63603347,,
立交桥分理处,合肥市琅琊山路商网恢复楼103号,0551—64211039,,
蒙城路分理处,合肥市淮河路425号,0551—62814144,,
南林分理处,合肥市新蚌埠路瑶岭苑小区1号楼C座,0551—64214810,,
南影分理处,合肥市青年路177号,0551—63411244,,
潜山路分理处,合肥市潜山路287号,0551—65566344,,
三十岗分理处,合肥市三十岗乡三十岗街道,0551—65711432,,
行政服务中心分理处,合肥市东流路100号合肥市政务新区三区A座行政服务中心大厅一楼,0551—63445632,,
尚店分理处,合肥市阜阳北路1018号,0551—65657134,,
姚公分理处,合肥市金寨南路522号,0551—63516497,,
十五里河分理处,合肥市金寨南路 312号,0551—63523001,,
望江西路分理处,合肥市望江西路37号,0551—65132987,,
双岗分理处,合肥市荣事达大道346号,0551—65524482,,
颍上路分理处,合肥市临泉路与颍上路交口,0551—65537915,,
常青分理处,合肥市金寨路129号,0551—64483906,,
南二环分理处,合肥市二环路与望江路交汇处安徽五金机电商贸城A座南侧,0551—64658975,,
卫岗分理处,合肥市徽州大道1003号,0551—63452670,,
环湖东路分理处,合肥市环湖东路金色池塘2A-17幢105-106室,0551—65331042,,
五里墩分理处,合肥市青阳南路056-057号,0551—65133636,,
五里井分理处,合肥市砀山路金都华庭15号,0551—65552024,,
五里庙分理处,合肥市淝河路五里庙东方新城F区6幢114-115号,0551—63468061,,
西七分理处,合肥市长江西路551号鼎金大厦112号,0551—65561451,,
晓星分理处,合肥市大圩乡晓星集,0551—64855853,,
兴园分理处,合肥市高新技术开发区兴园小区13幢101号,0551—65845285,,
南七分理处,合肥市望江路88号,0551—63641858,,
义兴分理处,合肥市葛淝路177号,0551—64841476,,
瑶海分理处,合肥市双七路中兴西湖花园115-117号,0551—64419121,,
淝河分理处,合肥市安凯集团公司大门对面1号楼5号,0551—64841793,,
漕冲分理处,合肥市漕冲烟酒批发市场C区3-4号,0551—64418651,,
翡翠园分理处,合肥市长丰路133号,0551—65153877,,
安徽肥西农村商业银行股份有限公司,肥西县上派镇三河路62号,8833179,,
安徽肥西农村商业银行股份有限公司上派镇支行,肥西县上派镇人民路12号,8841197,,
安徽肥西农村商业银行股份有限公司三河支行,肥西县三河镇北街63号,8751501,,
安徽肥西农村商业银行股份有限公司馆驿支行,肥西县上派镇三河路94号,8843906,,
安徽肥西农村商业银行股份有限公司肥光支行,合肥市金寨南路1038号,8993699,,
