网点名称,网点地址,电话,Longitude,Latitude
交银施罗德基金管理有限公司北京分公司,北京市西城区金融大街7号英蓝国际金融中心11层1105室,010-66584999,116.3589771,39.92251847
交银康联人寿保险有限公司北京市分公司,北京市西城区平安里西大街28号9层06-09单元,010-63220175,116.3575813,39.93188159
交银康联人寿保险有限公司辽宁省分公司,辽宁省沈阳市沈河区市府大路258-1号15层,024-22851801,123.4297881,41.80575147
交银康联人寿保险有限公司黄浦天津路营销服务部,上海市黄浦区天津路180号应氏大厦10楼,4008-211-211,121.4828773,31.23845108
交银国际信托（上海）,上海市仙霞路99号尚嘉中心23楼(B),021-32169666,121.407159,31.20595051
交银国际信托（上海）,上海市仙霞路18号锦明大厦15-16层(A),021-32169666,121.406695,31.20397351
交银金融租赁,上海市仙霞路18号,021-53559858,121.406695,31.20397351
交银康联人寿保险有限公司,上海市长宁区仙霞路18号?锦明大厦18-21楼,4008-211-211,121.406695,31.20397351
交银施罗德基金管理有限公司,上海浦东新区世纪大道8号国金中心二期21楼,021-61055050%2C400-700-5000%EF%BC%9B021-61055000,121.5030797,31.23606132
交银康联人寿保险有限公司无锡市中心支公司,无锡市北塘区北大街28号交通银行北门支行8-9楼,0510-81195559,120.2984224,31.57573808
交银康联人寿保险有限公司苏州市中心支公司,江苏省苏州吴中区+圆融时代广场23栋B座8楼,0512-62607100,120.7152656,31.32213753
交银康联人寿保险有限公司安徽省分公司,安徽省合肥市庐阳区安庆路211号,0551-65988900,117.2766063,31.86266667
交银康联人寿保险有限公司江苏省分公司,江苏省南京市鼓楼区中山北路124号银通大厦15、16、17和18层,025-85896968,118.773713,32.06852167
交银康联人寿保险有限公司河南省分公司,郑州市金水区商务外环路8号10F,0371-60339230,113.7181377,34.77325797
交银国际信托（武汉）,武汉市建设大道847号瑞通广场B座16-17层,027-85487417,114.2815618,30.60222674
交银康联人寿保险有限公司湖北省分公司,湖北省武汉市武昌区中北路101+号楚商大厦（海山金谷）十七楼,027-87600001,114.3391858,30.55109159
交银施罗德基金管理有限公司广州分公司,广州市珠江新城华夏路10号富力中心907,020-38927213,113.3214616,23.1173598
交银康联人寿保险有限公司广东省分公司,广东省广州市越秀区解放南路123号金汇大厦19楼,020-29108299,113.2623286,23.1169363
交银施罗德基金管理有限公司西部营销中心,四川省成都市顺城大街269号富力中心702室,028-86981065,104.0702986,30.66399203
交银康联人寿保险有限公司四川省分公司,四川省成都市武侯区人民南路四段11号附1号大陆国际24楼,028-65273051,104.0675589,30.62922258
交银康联人寿保险有限公司山东省分公司,济南市市中区纬二路51号山东商会大厦A座31层,0531-86106528,116.9971982,36.65935101
交通银行长沙黄谷路支行,湖南省长沙市雨花区万家丽南路二段27号芙佳花园117、118号门面,0731-89853409,113.043074,28.088273
交通银行保定容城支行,河北省保定市容城县奥威中路53号爱佳公寓1号楼底商,0312-5678205,115.871075,39.042405
交通银行安庆七街支行,安徽省安庆市宜秀区大桥街道文苑路与祥和路交口安庆七街C10-4-103+室,0556-5509073,117.088024,30.540081
交通银行合肥四里河支行,安徽省合肥市庐阳区四里河路与清源路交口文一名门湖畔小区S9幢商109室,0551-64390235,117.232338,31.899325
交通银行聊城东昌府支行,山东省聊城市东昌府区柳园办事处柳园南路西金紫荆商厦,0635-8761978,115.988217,36.431909
交通银行衡阳雁峰支行,衡阳市雁峰区解放路91号,0734-8180986,112.60739,26.89603
交通银行邵阳双清支行,邵阳双清区宝庆路与双坡南路交汇处乾道SOHO+时代综合楼一楼1007-1012、1015-1018号,0739-5156015,111.496047,27.23325
交通银行渭南韩城支行,陕西省韩城市新城区盘河路阳光新天地1-2层,0913-5281166,110.467762,35.480489
交通银行北京天坛支行,北京市东城区天坛东里北区12号,010-67197195,116.42007,39.88172
交通银行北京崇文门支行,北京市东城区东兴隆街56号,010-67022908,116.41425,39.89729
交通银行北京王府井支行,北京市东城区王府井大街200号,010-,116.41126,39.91093
交通银行北京东单北大街支行,北京市东城区东单北大街乙112号,010-65211902,116.41826,39.91071
交通银行北京和平里东街支行,北京市东城区和平里东街民旺园31号楼一层南侧,010-84252419,116.427591,39.951974
交通银行北京兴化路支行,北京市东城区兴化路11号,010-,116.41379,39.96184
交通银行北京工体北路支行,北京市东城区新中街68号聚龙花园8号楼首层,010-65513687,116.44057,39.93007
交通银行北京东直门支行,北京市东城区东直门外大街48号,010-84476501%2F84476502,116.435401,39.940437
交通银行北京马甸支行,北京市西城区德胜门外大街5号,010-62381995,116.37945,39.96459
交通银行北京阜外支行,北京市西城区车公庄大街9号院五栋大楼B座,010-88395382,116.348948,39.932796
交通银行北京市分行营业部,北京市西城区金融街33号,010-66102323%2F66101193,116.357912,39.910786
交通银行北京宣武支行,北京市西城区广安门内大街319号C、D座,010-83131682%2F83131683,116.353825,39.889991
交通银行北京西长安支行,北京市西城区三里河东路30号院1号楼一层、二层、三层部分,010-63963180,116.345938,39.910603
交通银行北京三里河支行,北京市西城区三里河一区五号院8号楼首层,010-68526812,116.344539,39.915941
交通银行北京右安门支行,北京市西城区白纸坊东街10号(泰然居一层),010-63559939,116.36472,39.87727
交通银行北京百万庄支行,北京市西城区百万庄大街11号粮科大厦首层,010-68342236,116.350687,39.928575
交通银行北京马连道支行,北京市西城区广外大街248号机械大厦一层,010-63327912,116.32699,39.88910
交通银行北京西单支行,北京市西城区西长安街甲17号,010-66078429,116.376913,39.907815
交通银行北京金融大街支行,北京市西城区金融街22号交通银行大厦,010-88668016,116.36031,39.914814
交通银行北京德胜门支行,北京市西城区德外大街85号德胜国际A座东侧一层,010-82015220,116.37903,39.95410
交通银行北京青年路支行,北京市朝阳区青年路27号院1号楼,010-56089565,116.51681,39.93172
交通银行北京中轴路支行,朝阳区安贞西里三区26号浙江大厦裙房,010-84133198,116.400324,39.969334
交通银行北京双井支行,北京市朝阳区广渠路36号院5号楼1至2层116之一层,010-,116.46924,39.89148
交通银行北京朝阳路支行,"北京市朝阳区八里庄西里99号1层101、107、108,2层201部分",010-85795583,116.494163,39.915106
交通银行北京望京东路支行,北京市朝阳区望京东园四区13号楼1层109室,010-84294760,116.4897,39.999956
交通银行北京光华路支行,北京市朝阳区光华路甲8号和乔大厦C座一层,010-65832085,116.46612,39.91258
交通银行北京来广营支行,北京市朝阳区来广营西路7号院18号楼1至2层111、112,010-84363565,116.46443,40.02090
交通银行北京华贸天地支行,北京市朝阳区清河营南街7号院7号楼01层133号、132号房屋（1F-C20、1F-C21号）,0-0,116.43141,40.04678
交通银行北京常通路支行,北京市朝阳区常通路3号院2号楼1层112号,0-0,116.59620,39.92426
交通银行北京太阳宫支行,北京市朝阳区太阳宫火星园10号楼206、207、112、111、110、109,010-84158623,116.444859,39.97074
交通银行北京慧忠北里支行,北京市朝阳区慧忠北里111号,010-64800993,116.40499,40.00550
交通银行北京春秀路支行,北京市朝阳区春秀路甲1号,010-,116.444428,39.938324
交通银行北京西坝河支行,北京市朝阳区西坝河西里28号英特公寓首层,010-64476041,116.43872,39.96760
交通银行北京松榆里支行,北京市朝阳区弘燕路山水文园西园1号楼103号,010-67357138,116.46645,39.86812
交通银行北京朝外支行,北京市朝阳区朝阳门外大街16号人寿大厦1层,010-85251078,116.43979,39.923437
交通银行北京慧忠里支行,北京市朝阳区慧忠北里413号楼,010-64924239,116.40106,39.99939
交通银行北京广渠路支行,北京市朝阳区广渠门外大街8号优士阁大厦B座C座首层,010-58614207,116.45868,39.89295
交通银行北京华威路支行,北京市朝阳区华威北里20号,010-67785143,116.44904,39.88027
交通银行北京安翔里支行,北京市朝阳区安翔路1号,010-64853141%2F64853144,116.38297,39.99092
交通银行北京亚运村支行,北京市朝阳区北四环路安慧里2区4号楼,010-64912548,116.40825,39.99471
交通银行北京亚北支行,北京市朝阳区安立路60号院润枫德尚六号楼X座西段,010-64820724,116.40961,40.00564
交通银行北京和平里支行,北京市朝阳区外馆东街51号柳清居裙房,010-64408115,116.40362,39.96239
交通银行北京育惠东路支行,北京市朝阳区小营路12号亚运花园B座一层,010-84649240%2F84624406,116.425209,39.993956
交通银行北京望京支行,北京市朝阳区望京街9号望京国际商业中心,010-59203673,116.484861,39.990417
交通银行北京望京中环路支行,北京市朝阳区望京西园3区304号楼,010-,116.475828,40.001447
交通银行北京望京南湖中园支行,北京市朝阳区望京南湖中园211楼,010-64748541,116.462245,40.000473
交通银行北京东润支行,北京市朝阳区南十里居28号东润枫景底商,010-,116.49623,39.95412
交通银行北京永安里支行,北京市朝阳区永安东里甲3号通用时代国际中心首层,010-65699378,116.45070,39.90542
交通银行北京东区支行,北京市朝阳区广渠路21号,010-58202953,116.49528,39.89407
交通银行北京望京西园支行,北京市朝阳区望京西园4区416号楼,010-64713569,116.472818,39.995858
交通银行北京林萃路支行,北京市朝阳区林萃路倚林佳园24号楼108-1,010-82724866%2F82724566,116.371779,40.014863
交通银行北京三元支行,北京市朝阳区曙光西里28号中冶大厦,010-64686512,116.452321,39.960202
交通银行北京大望路支行,北京市朝阳区西大望路3号蓝堡国际公寓写字楼1层,010-85997420,116.476268,39.910757
交通银行北京水碓子支行,北京市朝阳区水碓子北里19号楼,010-85961006,116.47789,39.92716
交通银行北京常营支行,北京市朝阳区常营丽景园6号楼1层117号,010-56303350,116.612948,39.924355
交通银行北京团结湖支行,北京市朝阳区农展馆南路13号瑞辰国际中心首层,010-85986512%2F85986510,116.466499,39.934281
交通银行北京酒仙桥支行,朝阳区酒仙桥路甲10号（星城国际大厦C座）,010-64351150,116.48454,39.97895
交通银行北京北苑支行,北京市朝阳区北苑6号院一区102号楼04号天怡家园底商首层,010-84945329,116.42139,40.04079
交通银行北京媒体村支行,北京市朝阳区红军营南路北辰绿色家园天朗园C座一层,010-84932021,116.416454,40.028978
交通银行北京东大桥支行,北京市朝阳区工体东路20－5号,010-65862053,116.450937,39.924248
交通银行北京东三环中路支行,北京市朝阳区东三环中路61号富力万丽酒店南侧商用物业1-3层,010-59037431,116.46092,39.89811
交通银行北京东三环支行,北京市朝阳区东三环北路19号中青大厦1-2层,010-65869850,116.46072,39.92966
交通银行北京朝阳北路支行,朝阳区朝阳北路99号楼,010-85526505,116.520191,39.924112
交通银行北京丰台科技园支行,北京市丰台区汽车博物馆东路1号院4号楼南座一层105,010-57327653,116.3025,39.825737
交通银行北京福海国际支行,北京市丰台区南苑5号金泰彤翔商厦2#楼1层1009号,010-,116.398741,39.856243
交通银行北京西四环中路支行,北京市丰台区靛厂路26号12号楼底商6-1,010-,116.28347,39.888278
交通银行北京政务中心支行,北京市丰台区西三环南路1号,010-89151024,116.308608,39.881462
交通银行北京大成路支行,北京市丰台区大成路25号1-1-2,010-,116.25482,39.88960
交通银行北京木樨园支行,北京市丰台区东木樨园9号,010-67273449,116.405962,39.857574
交通银行北京东方庄支行,北京市丰台区芳城东里9号,010-87623896,116.43593,39.86466
交通银行北京丰台支行,北京市丰台区南四环西路188号五区24号楼,010-63702841,116.28010,39.82290
交通银行北京东高地支行,北京市丰台区南苑警备东路六号二区,010-67063671,116.41928,39.79367
交通银行北京玉泉营支行,北京市丰台区草桥欣园一区6号楼一层102号,010-87584496,116.35597,39.84599
交通银行北京芳群园支行,北京市丰台区芳庄芳群园4区丙23号,010-67672631,116.431631,39.859677
交通银行北京长辛店支行,北京市丰台区张郭庄南路16号,010-83880276,116.19949,39.84913
交通银行北京丰台东路支行,北京市丰台区万芳园一区一号楼商业部分,010-,116.32061,39.84767
交通银行北京丰台北路支行,北京市丰台区丰台北路36号1号楼1层,010-83897707,116.29818,39.865694
交通银行北京石景山支行,北京市石景山区石景山路29号京燕饭店东配楼,010-68870512,116.20282,39.90780
交通银行北京田村路支行,北京市海淀区畅茜园景宜里7号楼,010-88183885,116.248859,39.929735
交通银行北京建材城西路支行,北京市海淀区建材城西路27号1层116,0-0,116.35057,40.06087
交通银行北京半壁店支行,北京市海淀区永定路2号院5号楼1层5-4,0-0,116.26664,39.92774
交通银行北京五道口支行,北京市海淀区中关村东路16号院1号楼1层108,010-0-0,116.334271,39.988925
交通银行北京宝盛里支行,北京市海淀区黑泉路8号1幢康健宝盛广场A座一层1002号,010-62999936,116.37865,40.04251
交通银行北京闵庄路支行,北京市海淀区闵庄南路9号,010-88403061,116.24641,39.96762
交通银行北京万柳支行,北京市海淀区长春桥路11号万柳酒店式公寓B座首层,010-58816704,116.30294,39.96084
交通银行北京紫竹桥支行,北京市海淀区紫竹院路1号人济山庄D座裙房,010-88556270,116.31337,39.94189
交通银行北京车公庄西路支行,北京市海淀区车公庄西路甲20号,010-68411979%2F68415660,116.32287,39.93282
交通银行北京阜成路支行,北京市海淀区阜成路14号,010-68767164,116.30730,39.92239
交通银行北京西直门支行,北京市海淀区高梁桥斜街59号长河湾一层,010-62239919,116.35004,39.94379
交通银行北京定慧寺支行,北京市海淀区阜成路58号新洲商务大厦一层,010-88117661,116.28035,39.92283
交通银行北京北太平庄支行,北京市海淀区花园东路32号仰源大厦一层,010-82030916,116.370664,39.978008
交通银行北京永定路支行,北京市海淀区永定路66号,010-68230977,116.25839,39.90847
交通银行北京翠微路支行,北京市海淀区翠微路12号新华联国际大厦1至2层西侧,010-68176981%28%E7%BF%A0%E5%BE%AE%E8%B7%AF%E6%94%AF%E8%A1%8C%29%2F63963180%28%E5%85%AC%E4%B8%BB%E5%9D%9F%E6%94%AF%E8%A1%8C%29,116.30260,39.91206
交通银行北京中关村支行,北京市海淀区成府路121号（蓝旗营高校住宅楼西端首层）,010-62768695,116.32300,39.99259
交通银行北京海淀支行,北京市海淀区苏州街16号神州数码大厦,010-82608179%EF%BC%88%E5%91%A8%E4%B8%80%E5%88%B0%E5%91%A8%E4%BA%94%EF%BC%89%2F+82608178%EF%BC%88%E5%A4%87,116.30632,39.97948
交通银行北京双榆树支行,北京市海淀区中关村东路123-4号（都市网景E座一层）,010-,116.333692,39.970049
交通银行北京上地支行,北京市海淀区上地科技路甲2号,010-62964297,116.31183,40.03661
交通银行北京中关村园区支行,北京市海淀区中关村新科祥园甲6号楼一、二层东南侧,010-82523490,116.324401,39.981453
交通银行北京蓟门桥支行,北京市海淀区西土城路1号院6-8号1至2层6-8,010-82589670,116.352354,39.973474
交通银行北京世纪城支行,北京市海淀区蓝靛厂世纪城小区金夕园甲1号楼4段,010-88463291,116.279726,39.961078
交通银行北京学府树支行,北京市海淀区学府树家园二区8-1--8-21号1层8-6,010-,116.331133,40.031369
交通银行北京农科院支行,北京市海淀区学院南路55号6号楼一层,010-62119839,116.33477,39.958257
交通银行北京西三环支行,北京市海淀区西三环北路87号国际财经中心A座109,010-88825872%2F88825873,116.309193,39.935815
交通银行北京北蜂窝路支行,北京市海淀区北蜂窝路乙15号,010-63985269%2F63986578,116.328585,39.90079
交通银行北京清河支行,北京市海淀区龙岗路清景园4号楼一层,010-62920576%2F62920578,116.350472,40.030654
交通银行北京五棵松支行,北京市海淀区复兴路69号A1－02号,010-88212665,116.27982,39.91342
交通银行北京通州支行,北京市通州区九棵树街187号、191号、195号（一层），185号、189号、193号（二层）,010-81511872,116.65591,39.88738
交通银行北京通州梨园支行,北京市通州区九棵树东街156号,010-60553287,116.67201,39.88151
交通银行北京顺义天竺支行,北京市顺义区天竺花园天韵广场109-4商铺,010-64577282,116.56389,40.06271
交通银行北京顺义石门支行,北京市顺义区石门街6号供销大厦一层,010-60416581,116.62981,40.12791
交通银行北京顺义支行,北京市顺义区仓上街2号AMB大厦一、二层,010-89448940,116.658088,40.11122
交通银行北京回龙观支行,北京市昌平区回龙观镇天龙苑25号1层01,010-81748370,116.35524,40.08101
交通银行北京天通苑支行,北京市昌平区天通苑一区一号楼七单元,010-84826491,116.41733,40.062931
交通银行北京北清路支行,北京市昌平区北清路1号院珠江摩尔项目5号楼一层底商。,010-010-80700789,116.291555,40.098879
交通银行北京西三旗支行,北京市昌平区建材城西路87号院8号楼,010-82969706,116.328717,40.057728
交通银行北京兴华大街支行,北京市大兴区兴华大街二段13号院3-2,010-80220732,116.32528,39.76429
交通银行北京文化园西路支行,北京经济技术开发区文化园西路8号院30号楼1层108,010-,116.492055,39.802931
交通银行北京旧宫支行,北京市大兴区旧宫镇旧桥路1号院1号楼103,0-0,116.461769,39.812048
交通银行北京清城支行,北京市大兴区富强路106号,010-,116.33427,39.74311
交通银行北京经济技术开发区支行,北京市经济技术开发区隆庆街3号,010-67883552,116.5064,39.800596
交通银行北京西红门支行,北京市大兴区西红门北一街1号院3号楼1层106号,010-,116.34128,39.79235
交通银行天津荣业大街支行,和平区荣业大街185、187号底商,022-27232999,117.184684,39.127951
交通银行天津和平支行,和平区和康名邸1.2-西康路15号、15号增1号、17号,022-58703500-216,117.188187,39.110366
交通银行天津滨江支行,和平区哈尔滨道70号,022-23391333,117.205383,39.128728
交通银行天津大桥道支行,河东区津塘路79号（首层甲区一楼部分区域底商）,022-24313246-203,117.247773,39.110366
交通银行天津真理道支行,河东区真理道华悦大厦B座1号,022-26455605,117.230451,39.149806
交通银行天津天山路支行,河东区万新村天山路11号底商,022-24717600-205,117.279182,39.131250
交通银行天津河东支行,河东区十一经路与九纬路交三联大厦A座1-2层,022-24217365-218,117.227767,39.124286
交通银行天津新开路支行,河东区新开路春华里巨福园商住城一层A1—15号,022-24410877,117.215135,39.143224
交通银行天津津塘路支行,河东区津塘路40号增7号丰盈公寓底商B—C段,022-24317231-203,117.235950,39.119375
交通银行天津大直沽支行,天津市河东区宫前园小区9号楼1-3底商,022-24312050,117.240514,39.109748
交通银行天津通兴支行,天津市河东区程林庄路嘉华里17-2号及17-2-2号底商,022-24491820-206,117.249961,39.130283
交通银行天津卫国道支行,天津市河东区卫国道136号3-101,022-58227874,117.257425,39.143266
交通银行天津河西支行,河西区围堤道162号,022-23519352,117.202384,39.099077
交通银行天津中环支行,河西区围堤道106号增2号中豪大厦底商,022-28289376,117.219255,39.094290
交通银行天津市分行营业部,河西区友谊路7号,022-23403115,117.203760,39.096471
交通银行天津解放南路支行,河西区解放南路442号,022-88253953,117.231840,39.072236
交通银行天津通达支行,河西区广东路广东大厦底商,022-23250665,117.215469,39.102026
交通银行天津解放路支行,河西区解放南路358号富裕广场底商5、6号,022-022-23232520-215,117.230384,39.101081
交通银行天津梅江支行,河西区友谊南路与珠江道交口西南侧凤水园2-21及2-23号底商,022-88368390,117.231644,39.072251
交通银行天津南京路支行,河西区南京路35号亚太大厦,022-23395854,117.217672,39.113013
交通银行天津大沽南路支行,天津市河西区大沽南路584号,022-,117.229353,39.105752
交通银行天津友谊支行,河西区友谊大厦3门底商5号,022-28353200,117.211423,39.078410
交通银行天津环湖中路支行,天津市河西区体院北环湖中路华昌大厦B座12号底商,022-23520452,117.187161,39.083883
交通银行天津学苑支行,河西区大沽南路1118号天邦购物乐园w1015号,022-88189858-207,117.282878,39.068427
交通银行天津白堤路支行,南开区白堤路龙兴里,022-23506495,117.155800,39.108884
交通银行天津南开大学支行,南开区卫津路94号,022-23503285,117.178603,39.105576
交通银行天津南开大学西南村支行,天津南开大学西南村生活服务区,022-,117.163458,39.101168
交通银行天津新技术产业园区支行,红旗路与天拖北道交口西北侧慧谷大厦103底商,022-27366843,117.148415,39.117044
交通银行天津复康路支行,南开区复康路55号-57号,022-23695378-113,117.144480,39.098848
交通银行天津南开支行,南开区黄河道与临汾路交口处团结里1号楼1—3层,022-87729315,117.155647,39.137894
交通银行天津广开支行,天津市南开区广开四马路凯兴天宝公寓底商212号,022-27478637,117.161675,39.132353
交通银行天津万德庄支行,南开区万德庄南北大街金厦新都花园6号楼首层1—4号,022-27466470,117.176865,39.119213
交通银行天津新安支行,东马路58号101、102、103室，北城街1号103室底商,022-87583310,117.189986,39.143839
交通银行天津奥城支行,天津市南开区奥城商业广场22/23-164,022-,117.17000,39.074981
交通银行天津北站外支行,河北区迎贤道177号,022-59953830,117.222227,39.157469
交通银行天津海河支行,河北区翔纬路307号、309号、311号,022-26205252,117.196848,39.141261
交通银行天津金钟河支行,天津市河北区金钟河大街芳景明居小区底商4-4商18、19号,022-26430889-210,117.222072,39.157432
交通银行天津通逸支行,河北区中山路160号增1号,022-26354060,117.197585,39.155749
交通银行天津芥园道支行,红桥区芥园道怡华园明华里6-105号底商,022-87729319,117.156363,39.146466
交通银行天津红桥支行,红桥区三号路1号10幢105号,022-86523655,117.163204,39.173180
交通银行天津亿城堂庭支行,天津市红桥区光荣道与勤俭道交口虹都名苑23号楼-勤俭道178号商业A,022-,117.1543108,39.170774
交通银行天津水木天成支行,天津市红桥区水木天成临湾园18号楼底商106,022-,117.135736,39.161852
交通银行天津空港支行,天津空港经济区西三道158号金融中心2号楼105、205号底商,022-84909334-106,117.388136,39.152587
交通银行天津东丽支行,东丽区利津路36号,022-24975223,117.308583,39.089963
交通银行天津华苑支行,南开区华苑东路莹华里13号底商,022-23713041,117.140717,39.082008
交通银行天津友谊南路支行,天津市西青区友谊南路与外环线交口，梨双公路南侧逸境园31号楼,022-23826583,117.216734,39.026364
交通银行天津水岸公馆支行,天津市河西区友谊南路与潭江道交口东南侧天涛园13-1-102,022-,117.2260452,39.0433180
交通银行天津师范大学支行,天津市西青区宾水西道393号天津师范大学商业街2期105号,022-23710628,117.132025,39.069342
交通银行天津津南支行,津南区咸水沽镇建国大街南侧慧丰花园发达居3号楼底商1号、3号,022-88513182,117.395847,38.987059
交通银行天津南开大学海河教育园校区支行,天津市海河教育园区同砚路38号南开大学商业街理1-101,022-59185036,117.340773,38.985477
交通银行天津天津大学海河教育园校区支行,天津市海河教育园区雅观路135号天津大学北洋园校区博士生A2局部,022-85356505,117.311726,38.995044
交通银行天津北辰支行,北辰区京津公路280号天穆镇政府成人教育中心大楼,022-26636766,117.150242,39.200784
交通银行天津杨村支行,天津市武清区京津公路东侧五一阳光熙园1-119,022-29300170,117.078089,39.371146
交通银行天津武清支行,天津市武清区雍阳西道701号,022-22258086,117.043222,39.382843
交通银行天津宝坻支行,天津市宝坻区环城南路26号怡购商业广场1A02、1A16、2A02,022-82651203-202,117.297130,39.705464
交通银行天津大港油田支行,大港油田光明大道西侧丁楼,022-25917041-102,117.496406,38.7388837
交通银行天津大港支行,大港区胜利街339号,022-63395051,117.453806,38.846575
交通银行天津通惠支行,塘沽区杭州道广达商城6栋101号底商,022-66305069-202,117.649699,39.037048
