网点名称,网点地址,电话,Longitude,Latitude
合肥马鞍山路支行,合肥市包河区马鞍山南路598号,86-551-63446588,117.301886233064,31.8364649948645
合肥金寨路支行,合肥市金寨路326号,86-551-62642322,117.276843690685,31.8552487198534
合肥蜀山开发区支行,合肥市井岗路与蜀峰路交汇处,86-551-62653210,117.168009523622,31.857706702803
合肥蜀南支行,蜀南庭院商业街蜀山新天地商业街B-2商铺,86-551-62677823,117.165794246109,31.8293839785886
合肥周谷堆支行,合肥大兴周谷堆农产品物流园4幢商101室,86-551-65637351,117.385544608798,31.8395823490471
合肥长江东路支行,合肥市瑶海区长江东路692号,86-551-64212199,117.321840000317,31.8680179993321
巢湖团结路支行,巢湖市巢湖中路95号,86-551-82329478,117.870361740403,31.5967379537944
合肥城西支行营业部,合肥市长江中路480号,86-551-62817995,117.271067999889,31.860386999961
巢湖西苑广场支行,巢湖市西苑广场安得楼4号楼3-5间门面,86-551-82625644,117.862071946264,31.5977881757846
合肥经济技术开发区支行,合肥市经济技术开发区繁华大道与莲花路交叉口,86-551-63816650,117.23165156357,31.7760824388544
合肥金寨南路支行,安徽省合肥市金寨南路401号,86-551-63528259,117.244715999645,31.8051940007035
合肥科学大道支行,合肥市海棠路150号,86-551-62673288,117.201009518376,31.8166493436931
合肥城东支行营业部,合肥市瑶海区胜利路万事达广场一号楼,86-551-64253502,117.311971000262,31.8796279996334
合肥庐阳支行营业部,合肥市寿春路130号,86-551-62616406,117.289424810408,31.8670726454871
合肥和平广场支行,合肥市瑶海区和平路291号金恒蓝岸雅居门面房,86-551-64485503,117.313293000073,31.8571679999042
合肥振兴路支行,合肥市长江西路雪霁路交口,86-551-65107701,117.155491180175,31.8520412059378
合肥新客站支行,合肥市瑶海区安徽大市场南大门,86-551-64260613,117.327114999858,31.8769559996206
合肥淠河路支行,合肥市淠河路88号,86-551-65134139,117.246947000005,31.857258999604
合肥三里庵支行,长江西路200号置地投资广场101-102,86-551-62823021,117.257596344497,31.8556073829752
合肥铁四局支行,望江东路92号,86-551-63636782,117.275226048644,31.8303807511716
巢湖健康路支行,巢湖市健康路和巢湖路交叉口德胜中央城2号楼B107-B112室,86-551-82371116,117.872432956417,31.5991662681097
合肥华侨城支行,合肥市禹州华侨城梅园16幢商101-103室,86-551-63531601,117.203246963278,31.7979988883389
合肥滨水城支行,合肥市义井路与颍上路叉口,86-551-65539821,117.272400011852,31.8834455066057
合肥柏堰支行,合肥市玉兰大道与香蒲路交口好运长安小区1幢商102室,86-551-62816421,117.160226307699,31.7979037103888
巢湖长江路支行,巢湖市长江路城市之光H5-2幢第5间营业房,86-551-82329424,117.873732888663,31.6132410646243
巢湖健康西路支行,巢湖市健康西路信泰国际花园9-1,86-551-82625013,117.861444011733,31.6070730265998
巢湖向阳路支行,巢湖市向阳路徽商御花园S3栋101-104商铺,86-551-82313918,117.876560000145,31.6094800000029
巢湖财富广场支行,巢湖市东方新世界17幢102-106号,86-551-82312773,117.884995899942,31.5982846114466
庐江支行营业部,庐江县庐巢路16号,86-551-87322883,117.31105300919,31.2560480079101
合肥城南支行,安徽省合肥市金寨路66号,86-551-63632008,117.265085038745,31.8338840089407
合肥藕塘路支行,合肥市庐阳区藕塘路金荷苑小区6号楼1层门门面房,86-551-65558339,117.278379000691,31.8765899998295
合肥习友路支行,合肥市政务区习友路978号国建香榭水都31幢101商，101商（中）、101商（上）室,86-551-62875081,117.213692795687,31.802710220701
合肥滨湖支行,安徽省合肥市滨湖新区广西路与紫云路交口滨湖世纪购物中心东南角,86-551-62912486,117.291464038436,31.7411532831983
合肥马鞍山南路支行,马鞍山南路415号,86-551-63482170,117.301333364944,31.8282955803776
合肥桐城路支行,安徽省合肥市桐城路55号,86-551-63637812,117.279081999836,31.8289590003585
合肥黄山路支行,安徽省合肥市黄山路55号,86-551-63652797,117.276429999846,31.8416940003787
合肥银杏苑支行,徽州大道1160号,86-551-63426037,117.285018539775,31.8216467090293
合肥太宁花园支行,宁国南路2号,86-551-63441456,117.292296999508,31.8317820001401
合肥东至路支行,黄山西路和东至路交口,86-551-63655865,117.245928246193,31.8414628952972
合肥龙岗支行,合肥市瑶海区长江东路2号,86-551-67686096,117.364985999805,31.8684769998146
合肥莲花路支行,合肥市经济技术开发区莲花路紫云花园75号,86-551-63848507,117.23134646227,31.7406719759318
合肥阜阳北路支行,合肥市阜阳北路龙河商场一楼,86-551-65531564,117.286102000708,31.8954650006102
合肥嘉山路支行,合肥市瑶海区嘉山路与临泉路交口,86-551-65603267,117.293103927006,31.8871149168208
合肥临泉路支行,安徽省合肥市蒙城北路和煦园小区18号商102室,86-551-65692072,117.278206295785,31.8868365406747
合肥和平路支行,合肥市瑶海区和平家园1号楼,86-551-64462756,117.326532999999,31.8544720005833
合肥颐和花园支行,青阳北路颐和花园清苑商网107#-112#,86-551-65176556,117.241410271668,31.8627412578037
合肥新亚支行,合肥市胜利路万事达广场1号楼,86-551-64228841,117.303341479127,31.8803189586539
合肥步行街支行,合肥九狮桥路45号,86-551-62631971,117.295492143249,31.8641389904229
合肥新海支行,安徽省合肥市瑶海区新海尚宸家园B栋,86-551-64310313,117.342945118324,31.8977220992963
合肥濉溪路支行,合肥市濉溪路9号富荣大厦商102、商202,86-551-65541494,117.287795136338,31.8797769948134
合肥蒙城路支行,阜南西路166号,86-551-62816714,117.278217000415,31.8715149996184
肥东支行营业部,肥东县店埠镇公园路26号,86-551-67731349,117.465883000501,31.8861000004156
肥西支行营业部,肥西县上派镇人民路1号,86-551-68842293,117.164383000276,31.7149439999665
合肥政务文化新区支行,合肥市绿地蓝海国际大厦B座,86-551-63490803,117.232593185228,31.8196227173154
肥西巢湖路支行,合肥上派镇巢湖中路29号,86-551-68833408,117.162883999498,31.719043999282
合肥钟楼支行营业部,安徽省合肥市徽州大道253号,86-551-62878356,117.285839333919,31.8525352512017
合肥青年路支行,安徽省合肥市徽州大道638号,86-551-64654199,117.28570400034,31.8398040004552
合肥望城店支行,合肥市庐阳区阜阳北路121号望城公馆1幢102-103、102上-103上号商铺,86-551-65590620,117.286295324371,31.8919753181073
合肥双凤支行,长丰县双凤开发区北城明珠小区11栋一层101，2层201,86-551-66317533,117.260732544872,31.9707319866927
合肥高新开发区支行,合肥市高新开发区天柱路19号梦园D座商场101-201,86-551-65320252,117.199829362336,31.8484157842619
合肥天鹅湖支行,合肥市政务文化新区东流路水墨兰庭13号楼商铺101、102、103、201、202室,86-551-63755515,117.21802773839,31.8192173829767
合肥华府骏苑支行,望江路信旺·华府骏苑第13-16#C区商场1层102室,86-551-62645441,117.237464372084,31.831465405505
合肥包河苑支行,繁华大道盛景融城3栋102-104,86-551-63358073,117.31788098592,31.7936387601216
合肥长江西路支行,合肥长江西路新西茗阁一楼,86-551-65159341,117.209587071287,31.8557417839571
合肥黄山西路支行,合肥黄山路与岳西路交叉口,86-551-65724753,117.225649471147,31.8405952581655
合肥望江西路支行,合肥市望江西路99号安高城市天地家园A1幢104、105号商铺,86-551-65133409,117.252334820397,31.8300855954747
合肥潜山北路支行,合肥市潜山北路龙凤嘉园商1、商2、商1上、商2上，C栋商C1,86-551-65954109,117.231755277885,31.8650367476487
合肥建新支行,合肥市瑶海区铜陵路169号万和新城门面房1-1商104,86-551-64490327,117.320874399135,31.8572114002868
合肥龙门支行,合肥市瑶海区龙门岭路与瑶海西路交口,86-551-65752658,117.322294572538,31.8894762685159
巢湖半汤路支行,巢湖市半汤路与凤凰山路交叉口中央领域1幢102室,86-551-82628324,117.886699546848,31.6194679291025
合肥明发广场支行,合肥市四里河路与砀山路交口明发广场B4区商114室、商245室,86-551-65746260,117.233320734965,31.899337870747
合肥贵池路支行,合肥市贵池路与合作化南路交口易居同辉北苑9幢一层商106、二层商201,86-551-65119795,117.250055167613,31.8462714021044
合肥湖北路支行,合肥市滨湖新区湖北路佳源都市小区8幢,86-551-63638523,117.306186652593,31.7371493197862
合肥紫蓬路支行,合肥市经济区习友路东、紫蓬路北南艳 • 碧湖花园21幢,86-551-62876492,117.272974137248,31.74733817182
合肥滨湖新区支行,合肥市徽州大道6699号,86-551-62886647,117.285029036662,31.7210709137925
合肥漕冲支行,合肥市瑶海区大兴镇东城世家12幢102室,86-551-62754316,117.35757880302,31.8603645609766
巢湖开发区支行,巢湖市向阳南路与裕溪路交叉口华邦世家花园号,86-551-82312502,117.883177600267,31.5902236722856
合肥望湖城支行,望湖中路桂香居B07东段101、商101上室,86-551-62645462,117.300971425592,31.8082543648479
合肥磨店支行,合肥市新站区文忠路与磨店美食街交口,86-551-62835425,117.378427089939,31.9382851586341
合肥四里河路支行,合肥市四里河路66号安然绿洲花园辰龙大厦商101室,86-551-62820793,117.236968133374,31.8911004468291
庐江黄山路支行,黄山路28号,86-551-87325911,117.281150516084,31.2492713851672
庐江塔山路支行,文明北路41号1幢,86-551-87322603,117.294761033096,31.2532688797559
肥东店埠支行,肥东店埠镇广电大厦一层,86-551-67711164,117.468695177841,31.8915830122471
合肥明珠广场支行,合肥市经济技术开发区上海城市公寓10幢商106、商120上室,86-551-63814755,117.226284352942,31.7814072950115
合肥创新大道支行,合肥高新区创新大道2760号创新公寓A座与B座之间1层,86-551-62826998,117.135051609945,31.83604646927
长丰支行营业部,长丰县水湖镇长寿路55号,86-551-66675818,117.166045356609,32.4807367186256
合肥蜀山支行营业部,黄山西路与西二环交口博澳丽苑E号楼,86-551-62826736,117.213811768799,31.837355172604
合肥中环城支行,石门路与百鸟路交口,86-551-63633857,117.206221289282,31.7798792919966
合肥裕溪路支行,合肥市裕溪路969号圣大商业广场A1区,86-551-64531724,117.342697653675,31.8457879832297
合肥紫云路支行,合肥市紫云路文一名门南郡商办楼1幢商101室,86-551-63800527,117.200409999723,31.7521097461687
合肥龙图路支行,安徽省合肥市龙图路666号,86-551-63535725,117.22368366557,31.8069342113457
合肥城西支行（汇总）,合肥蜀山湖路350号,86-551-66281305,117.168763885746,31.9000402682447
合肥城西支行（汇总）,肥西路299号,86-551-66281305,117.259406073632,31.8420336932012
合肥城西支行（汇总）,合肥市马鞍山路100号,86-551-66281305,117.30089202175,31.8480814226205
合肥城西支行（汇总）,合肥市陈小巷1号,86-551-66281305,117.281495036468,31.8706866547662
合肥城西支行（汇总）,沿河路222号,86-551-66281305,117.271206521565,31.8749643169505
巢湖团结路支行,巢湖市三中路世纪新都,86-551-82329478,117.886999888935,31.6069320650636
巢湖团结路支行,巢湖市东风路199号,86-551-82329478,117.870023516173,31.5943834126653
合肥城西支行（汇总）,高新区长江路与天通路交口合家福香格里拉广场,86-551-66281305,117.202789939505,31.854766742592
,合肥市淮河路256号,,117.28672367326,31.8653027014594
肥西支行营业部（汇总）,合安家园西门,86-551-68842293,117.21452099395,31.7672623513773
肥东支行营业部（汇总）,肥东店埠公园路建行宿舍,86-551-67731349,117.458931945254,31.8821009374092
合肥城东支行（汇总）,合肥市长江东路与东二环交口,86-551-64219580,117.339185569959,31.868359550154
肥西支行营业部（汇总）,肥西县人民东路龙飞花园,86-551-68842293,117.176251977448,31.7157052293138
肥西支行营业部（汇总）,肥西县包公路110号,86-551-68842293,117.173908208398,31.7281855017604
肥西支行营业部（汇总）,肥西县上派镇名邦西城北门,86-551-68842293,117.15817997143,31.7160978400441
长丰支行营业部（汇总）,双凤蒙城北路与金梅路交口,86-551-66675818,117.254524346722,31.9765060533126
合肥钟楼支行（汇总）,安徽中医药大学内（合肥市前江路少荃湖校区）,86-551-62873374,117.391014438367,31.9360008761404
合肥钟楼支行（汇总）,合肥市滨湖新区长沙路蓝鼎假日观湖苑,86-551-62873374,117.29745403138,31.7379583373083
合肥钟楼支行（汇总）,合肥市金寨南路建工学院内,86-551-62873374,117.253410208116,31.8141486780199
合肥钟楼支行（汇总）,合肥合马路18号,86-551-62873374,117.430370722632,31.8238568792924
合肥钟楼支行（汇总）,合肥市曙光路62号,86-551-62873374,117.278013834572,31.8459620721928
庐江支行营业部（汇总）,庐江文昌路中,86-551-87322883,117.289169298625,31.246820541036
庐江支行营业部（汇总）,庐江文明路76号,86-551-87322883,117.292595722815,31.2427992521846
庐江支行营业部（汇总）,白湖农场,86-551-87322883,117.537632617552,31.1879288811139
合肥钟楼支行（汇总）,合肥市方兴大道509号,86-551-62873374,117.260857921157,31.7243478202965
合肥钟楼支行（汇总）,合肥市翠微路15号,86-551-62873374,117.210579910236,31.7915200041458
合肥钟楼支行（汇总）,合肥市梅山路95号,86-551-62873374,117.2634277393,31.850506842018
合肥钟楼支行（汇总）,合肥市滨湖新区天山路滨湖世纪城振徽苑24幢,86-551-62873374,117.296882960981,31.743240740069
合肥钟楼支行（汇总）,合肥市合肥市徽州大道临滨苑A-106号,86-551-62873374,117.287745831006,31.7421937772219
庐江支行营业部（汇总）,庐江商业街,86-551-87322883,117.293357150913,31.2482244232194
合肥钟楼支行（汇总）,合肥市芜湖路319号,86-551-62873374,117.28562811015,31.8523866157506
合肥钟楼支行（汇总）,合肥瑶海区长江东路1104号,86-551-62873374,117.301713267354,31.8646646351656
合肥钟楼支行（汇总）,安徽工业经济职业技术学院校园内,86-551-62873374,117.327934927056,31.8180747889213
合肥钟楼支行（汇总）,合肥石门路与清潭路交叉口,86-551-62873374,117.254147841051,31.7705331577799
合肥钟楼支行（汇总）,合肥市金宁路16号,86-551-62873374,117.261072073119,31.9574160246307
合肥钟楼支行（汇总）,合肥长江批发市场南大门,86-551-62873374,117.364126529417,31.8644742783661
合肥钟楼支行（汇总）,中国科技大学西区,86-551-62873374,117.258073951952,31.838895071851
合肥钟楼支行（汇总）,中国科技大学东区,86-551-62873374,117.272493485587,31.8407748473822
合肥钟楼支行（汇总）,合肥市蒙城路102号,86-551-62873374,117.277418969911,31.865307090151
合肥钟楼支行（汇总）,合肥市莲花路1110,86-551-62873374,117.231542962339,31.7650366030577
合肥马鞍山路支行,合肥市包河区马鞍山南路598号,86-551-63446588,117.301886233064,31.8364649948645
合肥金寨路支行,合肥市金寨路326号,86-551-62642322,117.276843690685,31.8552487198534
合肥蜀山开发区支行,合肥市井岗路与蜀峰路交汇处,86-551-62653210,117.168009523622,31.857706702803
合肥蜀南支行,蜀南庭院商业街蜀山新天地商业街B-2商铺,86-551-62677823,117.165794246109,31.8293839785886
合肥周谷堆支行,合肥大兴周谷堆农产品物流园4幢商101室,86-551-65637351,117.385544608798,31.8395823490471
合肥长江东路支行,合肥市瑶海区长江东路692号,86-551-64212199,117.321840000317,31.8680179993321
巢湖团结路支行,巢湖市巢湖中路95号,86-551-82329478,117.870361740403,31.5967379537944
合肥城西支行营业部,合肥市长江中路480号,86-551-62817995,117.271067999889,31.860386999961
巢湖西苑广场支行,巢湖市西苑广场安得楼4号楼3-5间门面,86-551-82625644,117.862071946264,31.5977881757846
合肥经济技术开发区支行,合肥市经济技术开发区繁华大道与莲花路交叉口,86-551-63816650,117.23165156357,31.7760824388544
合肥金寨南路支行,安徽省合肥市金寨南路401号,86-551-63528259,117.244715999645,31.8051940007035
合肥科学大道支行,合肥市海棠路150号,86-551-62673288,117.201009518376,31.8166493436931
合肥城东支行营业部,合肥市瑶海区胜利路万事达广场一号楼,86-551-64253502,117.311971000262,31.8796279996334
合肥庐阳支行营业部,合肥市寿春路130号,86-551-62616406,117.289424810408,31.8670726454871
合肥和平广场支行,合肥市瑶海区和平路291号金恒蓝岸雅居门面房,86-551-64485503,117.313293000073,31.8571679999042
合肥振兴路支行,合肥市长江西路雪霁路交口,86-551-65107701,117.155491180175,31.8520412059378
合肥新客站支行,合肥市瑶海区安徽大市场南大门,86-551-64260613,117.327114999858,31.8769559996206
合肥淠河路支行,合肥市淠河路88号,86-551-65134139,117.246947000005,31.857258999604
合肥三里庵支行,长江西路200号置地投资广场101-102,86-551-62823021,117.257596344497,31.8556073829752
合肥铁四局支行,望江东路92号,86-551-63636782,117.275226048644,31.8303807511716
巢湖健康路支行,巢湖市健康路和巢湖路交叉口德胜中央城2号楼B107-B112室,86-551-82371116,117.872432956417,31.5991662681097
合肥华侨城支行,合肥市禹州华侨城梅园16幢商101-103室,86-551-63531601,117.203246963278,31.7979988883389
合肥滨水城支行,合肥市义井路与颍上路叉口,86-551-65539821,117.272400011852,31.8834455066057
合肥柏堰支行,合肥市玉兰大道与香蒲路交口好运长安小区1幢商102室,86-551-62816421,117.160226307699,31.7979037103888
巢湖长江路支行,巢湖市长江路城市之光H5-2幢第5间营业房,86-551-82329424,117.873732888663,31.6132410646243
巢湖健康西路支行,巢湖市健康西路信泰国际花园9-1,86-551-82625013,117.861444011733,31.6070730265998
巢湖向阳路支行,巢湖市向阳路徽商御花园S3栋101-104商铺,86-551-82313918,117.876560000145,31.6094800000029
巢湖财富广场支行,巢湖市东方新世界17幢102-106号,86-551-82312773,117.884995899942,31.5982846114466
庐江支行营业部,庐江县庐巢路16号,86-551-87322883,117.31105300919,31.2560480079101
合肥城南支行,安徽省合肥市金寨路66号,86-551-63632008,117.265085038745,31.8338840089407
