网点名称,网点地址,电话,Longitude,Latitude
兴业银行合肥分行营业部,阜阳路59号,0551-62650888-601419,117.292813,31.874806
兴业银行合肥分行寿春路支行 ,寿春路356号徽商国际大厦一楼,0551-62650888-600206,117.285586,31.875105
兴业银行合肥分行徽州路支行 ,徽州大道418号万通大厦,0551-62881255,117.29273,31.854355
兴业银行合肥分行长江中路支行,长江中路319号（三孝口仁和大厦）,0551-62666315,117.284387,31.867117
兴业银行合肥分行马鞍山路支行,马鞍山路77号拓佳新天地广场,0551-64687279,117.306859,31.856958
兴业银行合肥分行黄山路支行,黄山路385号外运大厦,0551-62153506,117.26979,31.84735
兴业银行合肥分行政务区支行,祁门路1777号辉隆大厦,0551-62359267,117.218558,31.814386
兴业银行合肥分行胜利路支行,胜利路88号蓝帆海岸一、二层,0551-64208227,117.319886,31.886871
兴业银行合肥分行青阳路支行,青阳北路颐和商城101-1室、101-2室,0551-65953906,117.242194,31.869401
兴业银行合肥分行巢湖支行,团结路与安成路交叉口、洗耳池公园旁,0551-82663006,117.880719,31.602414
兴业银行合肥分行绿城百合社区支行,合肥市东至路5号根据地美食广场109、110,0551-68102592,117.252106,31.844635
兴业银行合肥分行宝业城市绿苑社区支行,裕溪路与铜陵路交口万浮超市向东10米,0551-68102655,117.325152,31.857242
兴业银行合肥分行龙居山庄社区支行,安徽省合肥市蜀山区史河路38号拓佳欢乐广场东立面EW-6、EW-7、EN-8、EN-9,0551-68102658,117.242196,31.869409
兴业银行合肥分行幸福里社区支行,安徽省合肥市望江西路123号幸福里8栋商业108室,0551-68102652,117.254813,31.832607
兴业银行合肥分行家天下社区支行,安徽省合肥市瑶海区颖河路家天下花园四期4栋商109/109上、110,0551-68102660,117.330661,31.901173
兴业银行合肥分行博润苑社区支行,安徽省合肥市经济开发区翠微路南石鼓路东教工宿舍2楼韩江春快乐驿站一楼门口西侧部分门面,0551-62661791,117.211799,31.790787
兴业银行合肥豆瓣汇存取款一体机,濉溪路112号万豪广场商业组团“豆瓣汇步行街”A103,13866686835,117.290786,31.885906
兴业银行合肥翡翠路自动取款机,翡翠路与丹霞路交口好邻居超市旁,13866686835,117.216737,31.780819
兴业银行合肥翡翠路存取款一体机,翡翠路与丹霞路交口好邻居超市旁,13866686835,117.216737,31.780819
兴业银行合肥淮河路自动取款机,淮河路252号江淮大戏院,13866686835,117.294832,31.870705
兴业银行合肥淮河路存取款一体机,淮河路252号江淮大戏院,13866686835,117.294832,31.870705
兴业银行合肥乐城商厦存取款一体机,金寨路136号乐城超市1楼,13866686835,117.278283,31.850716
兴业银行合肥人本便利自动取款机,经济开发区耕耘路257号人本便利,13866686835,117.235912,31.766038
兴业银行合肥绿海学院自动取款机,经济开发区合安路68号绿海学院,13866686835,117.204687,31.75626
兴业银行合肥学院宿舍区自动取款机,经开区合肥学院宿舍区内,13866686835,117.25899,31.762439
兴业银行合肥长江中路支行自动取款机,长江路319号仁和大厦,0551-62666345,117.284129,31.867171
兴业银行合肥长江中路支行存取款一体机,长江路319号仁和大厦,0551-62666345,117.284129,31.867171
兴业银行合肥分行营业部自动取款机,阜阳路59号兴业银行大厦,0551-62650888-600019,117.292813,31.874798
兴业银行合肥分行营业部存取款一体机,阜阳路59号兴业银行大厦,0551-62650888-600019,117.292813,31.874798
兴业银行合肥黄山路支行存取款一体机,黄山路385号外运大厦,0551-62153500,117.270072,31.847373
兴业银行合肥徽州路支行存取款一体机,徽州大道418号万通大厦一楼,0551-62881258,117.292641,31.854351
兴业银行合肥马鞍山路支行存取款一体机,马鞍山路77号新天地广场,0551-64687598,117.307031,31.857279
兴业银行合肥胜利路支行自动取款机,胜利路88号蓝帆海岸一-二层,0551-64208218,117.319858,31.886876
兴业银行合肥胜利路支行存取款一体机,胜利路88号蓝帆海岸一-二层,0551-64208218,117.319858,31.886876
兴业银行合肥寿春路支行存取款一体机,寿春路徽商国际大厦一楼,0551-62853655,117.285787,31.875040
兴业银行合肥政务区支行存取款一体机,祁门路1777号辉隆大厦,0551-62359268,117.218558,31.814386
兴业银行合肥徽州大道自动取款机,徽州大道1068号斯宝酒店,13866686835,117.291606,31.830302
兴业银行合肥徽州大道存取款一体机,徽州大道1069号斯宝酒店,13866686835,117.291606,31.830302
兴业银行合肥阜阳北路自动取款机,阜阳北路1018号荣凤苑对面,13866686835,117.277841,31.951500
兴业银行合肥阜阳北路存取款一体机,阜阳北路1018号荣凤苑对面,13866686835,117.277841,31.951500
兴业银行合肥南七华联自动取款机,金寨路南七北京华联超市旁,13866686835,117.268853,31.831844
兴业银行合肥南七华联存取款一体机,金寨路南七北京华联超市旁,13866686835,117.268853,31.831844
兴业银行合肥潜山路存取款一体机,潜山路与史河路交叉口百大电器旁,13866686835,117.236686,31.868842
兴业银行合肥青阳路存取款一体机,长江西路与青阳北路交口西北角,13866686835,117.236686,31.868842
兴业银行合肥赛博数码广场自动取款机,黄山路331号赛博数码广场自助银行,13866686835,117.272739,31.847504
兴业银行合肥赛博数码广场存取款一体机,黄山路331号赛博数码广场自助银行,13866686835,117.272739,31.847504
兴业银行合肥西环中心广场自动取款机,黄山路与潜山路交口西环中心广场,13866686835,117.236864,31.847657
兴业银行合肥西环中心广场存取款一体机,黄山路与潜山路交口西环中心广场,13866686835,117.236864,31.847657
兴业银行合肥元一自动取款机,胜利路元一时代广场北京华联超市,13866686835,117.337855,31.860715
兴业银行合肥元一存取款一体机,胜利路元一时代广场北京华联超市,13866686835,117.337855,31.860715
兴业银行合肥中房名都存取款一体机,长江东路ITAT百货会员俱乐部 ,13866686835,117.312653,31.870885
兴业银行合肥学院自助自动取款机,经开区锦绣大道合肥学院,13866686835,117.25845,31.759737
兴业银行合肥学院自助存取款一体机,经开区锦绣大道合肥学院,13866686835,117.25845,31.759737
兴业银行合肥红旗建材批发市场存取款一体机,安徽红旗建材批发市场精品会展中心值班室,13866686835,117.343540,31.853791
兴业银行合肥宜家佳超市自动取款机,金寨路姚公庙宜家佳超市,13866686835,117.253961,31.815353
兴业银行合肥海毅精密塑业自动取款机,经开区天都路与海毅精密塑业门卫室,13866686835,117.247348,31.785861
兴业银行合肥海毅精密塑业存取款一体机,经开区天都路海毅精密塑业门卫室,13866686835,117.247348,31.785861
兴业银行安徽教育出版社存取款一体机,经开区繁华大道安徽教育出版社,13866686835,117.205168,31.788316
兴业银行合肥中澳学院你我他超市自动取款机,濉溪路中澳学院你我他超市,13866686835,117.284462,31.892577
兴业银行合肥龙居山庄社区支行自动取款机,合肥市蜀山区史河路38号拓佳欢乐广场东立面EW-6、EW-7、EN-8、EN-9,18297909836,117.242197,31.869414
兴业银行合肥龙居山庄社区支行存取款一体机,合肥市蜀山区史河路38号拓佳欢乐广场东立面EW-6、EW-7、EN-8、EN-9,18297909836,117.242197,31.869414
兴业银行合肥幸福里社区支行自动取款机,合肥市望江西路123号幸福里8栋商业108室,18297909836,117.25475,31.832661
兴业银行合肥幸福里社区支行存取款一体机,合肥市望江西路123号幸福里8栋商业108室,18297909836,117.25475,31.832661
兴业银行合肥家天下社区支行自动取款机,"合肥市瑶海区颖河路家天下花园四期4栋商109,109上、110",18297909836,117.330656,31.901165
兴业银行合肥家天下社区支行存取款一体机,"合肥市瑶海区颖河路家天下花园四期4栋商109,109上、110",18297909836,117.330656,31.901165
兴业银行合肥博润苑社区支行自动取款机,合肥市经济开发区翠微路南石鼓路东教工宿舍2楼韩江春快乐驿站一楼门口西侧部分门面,18297909836,117.211799,31.790787
兴业银行合肥博润苑社区支行存取款一体机,合肥市经济开发区翠微路南石鼓路东教工宿舍2楼韩江春快乐驿站一楼门口西侧部分门面,18297909836,117.211799,31.790787
兴业银行巢湖支行存取款一体机,巢湖市团结路与安成路交叉口,18605656129,117.242194,31.869401
兴业银行合肥青阳路支行存取款一体机,合肥市青阳北路颐和商城101-1室、101-2室,15395019629,117.242194,31.869401
兴业银行合肥顶峰公寓自动取款机,合肥市桐城路顶峰公寓自助银行,13866686835,117.286702,31.853799
兴业银行合肥顶峰公寓存取款一体机,合肥市桐城路顶峰公寓自助银行,13866686835,117.286702,31.853799
兴业银行合肥绿城百合社区支行自动取款机,合肥市东至路5号根据地美食广场109、110,18297909836,117.252114,31.84465
兴业银行合肥绿城百合社区支行存取款一体机,合肥市东至路5号根据地美食广场109、110,18297909836,117.252114,31.84465
兴业银行合肥宝业城市绿苑社区支行自动取款机,合肥市瑶海区裕溪路与铜陵路交口万浮超市向东10米,18297909836,117.325152,31.857242
兴业银行合肥宝业城市绿苑社区支行存取款一体机,合肥市瑶海区裕溪路与铜陵路交口万浮超市向东10米,18297909836,117.325152,31.857242
兴业银行巢湖人民路存取款一体机,巢湖市人民路与健康路交叉口,18605656129,117.876747,31.608295
兴业银行巢湖城市之光存取款一体机,巢湖市巢湖路城市之光小区E1幢1-2铺,055182663006,117.880365,31.621441
兴业银行合肥大溪地社区支行自动取款机,合肥市怀宁路大溪地,18297909836,117.227611,31.85143
兴业银行合肥大溪地社区支行存取款一体机,合肥市怀宁路大溪地,18297909836,117.227611,31.85143
