网点名称,网点地址,电话,Longitude,Latitude
滨湖支行,滨湖新区天山路与洞庭湖路交叉口,,+0000.000000,+0000.000000
庐阳支行,合肥市亳(bo)州路135号天庆大厦一楼，庐阳区政府对面,,+0117.263857,+0031.878508
科大讯飞自助银行,合肥市望江西路666号科大讯飞公司A2行政楼一层,,+0117.311364,+0031.900384
合肥滨湖新区天山路合家福自助银行,滨湖区天山355号,,+0117.296696,+0031.737424
江东大道支行,江东大道与马濮路交叉口,,+0118.519177,+0031.732771
合肥上城国际社区银行,合肥市上城国际新城玫瑰苑1幢商106、107室,,+0117.282900,+0031.892299
合肥滨湖春天社区银行,包河大道与祁门路交叉口南100米,,+0117.303633,+0031.812717
合肥太宁花园社区银行,合肥市包河区望江路与宁国路交口,,+0117.292241,+0031.828334
合肥创景花园社区银行,合肥市南一环与曙光路交口曙光路69号创景花园3栋商业102,,+0117.275524,+0031.844051
江南新里程社区银行,合肥市包河区桐城南路太湖路北100M,,+0117.274173,+0031.832236
合肥中兴西湖花园社区银行,合肥瑶海区北二环与龙门领路交口,,+0117.324127,+0031.899481
合肥利港银河新城社区银行,合肥市凤台路与嘉山路交口向东150米利港银河新城S3-104-204室,,+0117.293878,+0031.894203
合肥华地新街社区银行,望江西路与岳西路交口向南50米,,+0117.223962,+0031.841149
合肥领势公馆社区银行,蜀山区东至路与贵池路交口向东100米巷内小区北门,,+0117.245478,+0031.845666
合肥汉嘉都市森林社区银行,贵池路和岳西路交口,,+0117.225173,+0031.845194
合肥科学家园社区银行,湖光东路168号科学家园4号楼一层,,+0117.174282,+0031.863699
合肥百协大溪地社区银行,合肥市蜀山区怀宁路与黄山路交口向北100米,,+0117.260205,+0031.840725
合肥望江西路大唐国际购物广场自助银行,合肥市蜀山区望江西路198号信旺华府骏苑5幢商120室,,+0117.232366,+0031.830990
琥珀五环城社区银行,合肥市蜀山区习友路与潜山路交口,,+0117.232542,+0031.798216
合肥发能太阳海岸小区金融便民店,合肥市政务区习友路与祁门路交汇处,,+0117.231636,+0031.808269
合肥绿城桂花园小区金融便民店,合肥市黄山路绿城桂花园雨苑1号商铺前三间,,+0117.197645,+0031.837608
合肥澜溪镇小区金融便民店,合肥市香樟大道澜溪镇花园2栋106室,,+0117.193990,+0031.834852
合肥翠微苑社区银行,合肥市经开区芙蓉路南、翡翠路西翠微苑二期4栋116室,,+0117.865857,+0031.503947
合肥和平盛世社区银行,明光路与和平路交口小区商业街中段,,+0106.746291,+0025.428867
合肥御景湾社区银行,合肥市包河区1号孝肃桥东侧,,+0117.303976,+0031.858805
合肥宝业城市绿苑社区银行,合肥市铜陵路与合裕路交口,,+0117.317904,+0031.851634
肥西支行,合肥市肥西县巢湖路与新华街交叉口,,+0117.168998,+0031.723136
潜山路支行,合肥潜山路与皖和路交口,,+0000.000000,+0000.000000
肥东支行,肥东县店埠镇公园路北侧星光国际广场3-S2一、二层民生银行肥东支行,,+0000.000000,+0000.000000
长江东路批发市场自助,合肥市瑶海区长江东路85号长江市场A区1#门西01号门面,,+0117.364636,+0031.867807
合肥分行营业部,合肥市亳(bo)州路135号天庆大厦一楼，庐阳区政府对面,,+0117.283042,+0031.861190
铜陵路自助    ,瑶海区铜陵路路（街）169号  ,,+0117.816576,+0030.929935
五金大市场自助,瑶海区区临泉路路（街）9号  ,,+0115.261688,+0033.062698
马鞍山路自助  ,包河区区马鞍山路（街）506号,,+0117.301281,+0031.839611
马鞍山路支行,合肥市马鞍山南路429号,,+0117.300884,+0031.841076
高新区支行,蜀山区区黄山路路（街）616号，黄山路与天柱路交口,,+0117.199497,+0031.848725
望江路支行,合肥市望江东路39号，省立儿童医院大门旁,,+0117.280579,+0031.827769
屯溪路支行,包河区区屯溪路（街）235号，合肥屯溪路与徽州大道交口,,+0117.287125,+0031.839580
白马支行,合肥市站前路白马三期（宝文商务大厦）旅游汽车站斜对面,,+0117.309052,+0031.886486
经开区支行,莲花路和丹霞路交口,,+0117.231277,+0031.765339
黄山路沃尔玛自助银行,合肥市蜀山区环湖东路398号黄山路沃尔玛超市旁,,+0117.215177,+0031.840173
合肥工大新区自助银行,合工大翡翠湖校区八号楼公寓西段,,+0000.000000,+0000.000000
合肥红星路锦信大厦自助银行,合肥市红星路91号锦信大厦,,+0117.293144,+0031.865177
合肥书香门第,滨湖新区玉龙路与林芝路交口书香门第商业街10#楼102商铺,,+0117.278213,+0031.728620
合肥政务区支行,"合肥市祁门路1718号,合肥市祁门路1718号天鹅湖购物中心B-商101",0551-65525117       ,+0117.211804,+0031.809694
合肥马鞍山路支行,安徽省合肥市包河区马鞍山南路429号创智广场6幢1层3-101室,0551-63779250       ,+0117.301513,+0031.827612
合肥高新区支行,安徽省合肥市黄山路616号（黄山路与天柱路交叉口）,0551-65307973       ,+0117.113900,+0031.503200
