网点名称,网点地址,电话,Longitude,Latitude
滨湖支行,合肥市包河区南京路2588号要素大市场118、119及夹层商铺,0551-65809898,117.29244300,31.75619900
长江路支行,合肥市庐阳区长江中路67号,0551-65809752,117.30061500,31.86749400
大钟楼支行,合肥市包河区屯溪路251号世纪云顶大厦一楼,0551-65809588,117.29215600,31.85270700
繁华大道支行,合肥市经开区繁华大道12629号经典华城9号楼101部分商铺,0551-65809932,117.21700700,31.78758700
肥西路支行,合肥市蜀山区黄山路330号,0551-65809827,117.26714900,31.84820600
高新区支行,合肥市高新区天达路71号合肥华亿工业园B#一层、二层,0551-65809804,117.21110400,31.85054500
贵池路支行,合肥市蜀山区黄山路468号易居同辉南苑8幢一层,0551-65809919,117.25166600,31.85151700
合肥分行营业部,合肥市阜南路169号东怡金融广场A座招银大厦,0551-65809542,117.28319500,31.87687800
合肥经开区支行,合肥市经济开发区繁华大道261号繁华世家B座商办楼,0551-65809854,117.23068800,31.78375400
金屯支行,合肥市包河区屯溪路258号,0551-65809700,117.28337200,31.85380600
马鞍山路支行,合肥市包河区马鞍山路100号,0551－65809659,117.30706900,31.85738100
南七支行,合肥市包河区金寨路2号,0551-65809686,117.27136600,31.83576200
三孝口支行,合肥市长江中路436号金城大厦一楼,0551-65809726,117.27883500,31.86680200
四牌楼支行,合肥市庐阳区徽州大道91号,0551-65809609,117.29294000,31.86564900
铜陵北路支行,合肥市颖河路家天下花园小区四期8幢一层,65809955,117.33283400,31.90073500
望江西路支行,合肥市蜀山区潜山路与望江西路交口华地新街B3幢102商铺,0551-65809977,117.22727100,31.82144800
卫岗支行,合肥市包河区太湖路与徽州大道交叉口恒生阳光城,0551-65809874,117.29133500,31.83871900
新站支行,合肥市新站区胜利路与站前路交口光大国际城1、2层,0551-65809761,117.32079800,31.88807500
站前路支行,站前路与铜陵北路交口西南角站前路1号,0551-65809944,117.32944700,31.88451300
政务区支行,合肥市南二环路959号财智大厦一楼,0551－65809635,117.24196000,31.82200800
