网点名称,网点地址,电话,Longitude,Latitude
合肥分行营业部,庐阳区濉溪路278号财富广场C座一层,,117.2737,31.88484
胜利路支行,瑶海区胜利路与站前路交口世茂商城一层,,117.321597,31.888964
政务区支行,政务区祁门路1118号振业大厦B座一层,,117.220022,31.815253
长江西路支行,蜀山区长江西路7号锦江大厦一层,,117.272281,31.864081
周谷堆支行,包河区屯溪路33号恒兴广场一层,,117.312941,31.854198
金屯支行,包河区屯溪路369号兰亭公寓一层,,117.284692,31.852955
滨湖新区省委省政府离行式单点ATM,合肥市滨湖新区中山路1号省委省政府,,117.336623,31.74058
经开区支行,经开区繁华大道247号百乐门名品广场9号楼一层,,117.23547,31.781816
自助银行,蜀山区潜山路大唐国际广场,,117.239265,31.836776
自助银行,包河区徽州大道与环城路交口格林豪泰宾馆旁,,117.292547,31.860965
瑶海支行,瑶海区包公大道43号银领时代花园17幢101、201室,,117.350677,31.890934
黄山路支行,蜀山区黄山路与科学大道交口海棠湾小区12号楼,,117.211056,31.846508
广利花园社区支行,蜀山区怀宁路大溪地现代城90幢107商铺,,117.23069,31.8511
合肥分行高新区支行,高新区合肥创新产业园二期H区H1号楼,,117.145026,31.844021
合肥分行包河支行,包河区繁华大道九珑湾花园C6幢一、二层。,,117.321361,31.798237
芜湖分行营业部,芜湖市鸠江区瑞祥路88号皖江财富广场C2楼,,118.43,31.38
站前路中绿广场离行式自助银行,合肥市新站区站前路中绿广场二期商115号门面,,117.328204,31.886447
政务区支行,政务区祁门路1118号振业大厦B座,0551-63753988,117.220022,31.815253
长江西路支行,合肥市长江西路7号锦江大厦一楼,0551-62855369,117.272281,31.864081
金屯支行,合肥市屯溪路369号兰亭公寓1—2楼,0551-65986766,117.284692,31.852955
合肥分行营业部,庐阳区濉溪路278号财富广场C座,0551-65776988,117.2737,31.88484
胜利路支行,合肥市胜利路与站前路交口（世茂商城）,0551-65971880,117.321597,31.888964
经济技术开发区支行,合肥市经开区繁华大道247号名品广场9号楼一层,0551-65797566,117.23547,31.781816
黄山路支行,合肥市黄山路612号海棠湾小区12幢101-104、102储-104储,0551-62961333,117.211056,31.846508
广利花园社区支行,合肥市蜀山区怀宁路大溪地现代城90幢107,0551-62961338,117.23069,31.8511
芜湖分行营业部,芜湖市鸠江区瑞祥路88号皖江财富广场C2楼,0553-5880688,118.43,31.35
合肥芜湖镜湖支行,安徽省芜湖市镜湖区文化路39-3号海螺商务楼1层,0553-3838188,118.390346,31.343747
高新区支行,高新区合肥创新产业园二期H区H1号楼,0551-65601533,117.145026,31.844021
包河支行,合肥市包河区繁华大道6699号九珑湾花园C6幢商104-106号，商201号,0551-64566800,117.321361,31.798237
周谷堆支行,屯溪路33号恒兴广场1—2层,0551-64639855,117.312941,31.854198
瑶海支行,合肥市瑶海区包公大道43号银领时代花园17幢101、201室,0551-65970200,117.350677,31.890934
